,X,Y,tdx12_Pantanal,tdx30_Pantanal,srtm30_Pantanal,srtm30_wgs84_Pantanal,aster30_Pantanal,aster30_wgs84_Pantanal,aw3d30_Pantanal,aw3d30_wgs84_Pantanal
0,113.86027951,-56.74087693,-18.78549686,-18.78554444,-18.78554444,-18.78554444,-18.78554444,-18.78554444,-18.78546514,-18.78546514
1,132.85082933,-56.32313627,-18.00124447,-18.00116135,-18.00116135,-18.00116135,-18.00116135,-18.00116135,-18.00129988,-18.00129988
2,139.57643585,-56.01007276,-18.49315541,-18.49315427,-18.49315427,-18.49315427,-18.49315427,-18.49315427,-18.49315617,-18.49315617
3,129.80148928,-56.27941309,-18.58258841,-18.58260218,-18.58260218,-18.58260218,-18.58260218,-18.58260218,-18.58257924,-18.58257924
4,126.33006136,-56.37521394,-18.67231583,-18.67234455,-18.67234455,-18.67234455,-18.67234455,-18.67234455,-18.67229669,-18.67229669
5,124.19137044,-56.71115983,-18.47100312,-18.47099828,-18.47099828,-18.47099828,-18.47099828,-18.47099828,-18.47100634,-18.47100634
6,113.14382117,-56.96403197,-18.00052598,-18.00044274,-18.00044274,-18.00044274,-18.00044274,-18.00044274,-18.00058147,-18.00058147
7,122.44747224,-56.67726494,-18.14900451,-18.14894602,-18.14894602,-18.14894602,-18.14894602,-18.14894602,-18.1490435,-18.1490435
8,120.81619433,-56.84179757,-18.56599695,-18.56600795,-18.56600795,-18.56600795,-18.56600795,-18.56600795,-18.56598962,-18.56598962
9,112.59695565,-56.62606468,-18.86830771,-18.86836908,-18.86836908,-18.86836908,-18.86836908,-18.86836908,-18.86826679,-18.86826679
10,136.20675443,-56.21396511,-18.39687787,-18.39686068,-18.39686068,-18.39686068,-18.39686068,-18.39686068,-18.39688933,-18.39688933
11,123.45256366,-56.52260455,-18.43835694,-18.43834667,-18.43834667,-18.43834667,-18.43834667,-18.43834667,-18.43836379,-18.43836379
12,126.64881024,-56.54288525,-18.50359639,-18.50359699,-18.50359699,-18.50359699,-18.50359699,-18.50359699,-18.50359599,-18.50359599
13,137.01510924,-56.22723109,-18.2685176,-18.26847902,-18.26847902,-18.26847902,-18.26847902,-18.26847902,-18.26854332,-18.26854332
14,135.33858541,-56.24438428,-18.40454704,-18.40453114,-18.40453114,-18.40453114,-18.40453114,-18.40453114,-18.40455765,-18.40455765
15,130.79826512,-56.41835928,-18.29839252,-18.29835893,-18.29835893,-18.29835893,-18.29835893,-18.29835893,-18.29841492,-18.29841492
